energy,acousticness,valence,target
0.983,0.538,0.589,1
0.917,0.772,0.696,1
0.948,0.431,0.914,1
0.703,0.281,0.588,1
0.895,0.317,0.794,1
0.935,0.559,0.904,1
0.907,0.0207,0.486,1
0.93,0.589,0.704,1
0.922,0.514,0.656,1
0.955,0.293,0.81,1
0.73,0.258,0.85,1
0.866,0.415,0.732,1
0.835,0.405,0.802,1
0.61,0.252,0.608,1
0.896,0.744,0.758,1
0.864,0.225,0.679,1
0.894,0.00364,0.547,1
0.921,0.645,0.73,1
0.819,0.459,0.801,1
0.941,0.397,0.88,1
0.988,0.43,0.27,1
0.952,0.0917,0.773,1
0.88,0.354,0.898,1
0.8,0.329,0.585,1
0.914,0.164,0.852,1
0.822,0.235,0.322,1
0.935,0.248,0.937,1
0.822,0.694,0.963,1
0.843,0.317,0.617,1
0.938,0.104,0.898,1
0.948,0.0572,0.78,1
0.947,0.067,0.739,1
0.644,0.753,0.89,1
0.663,0.91,0.808,1
0.949,0.172,0.956,1
0.913,0.415,0.805,1
0.446,0.821,0.801,1
0.679,0.246,0.838,1
0.81,0.504,0.634,1
0.644,0.628,0.547,1
0.571,0.437,0.571,1
0.504,0.419,0.151,1
0.63,0.534,0.744,1
0.791,0.509,0.877,1
0.863,0.136,0.645,1
0.901,0.715,0.631,1
0.816,0.0395,0.637,1
0.851,0.113,0.918,1
0.746,0.0916,0.864,1
0.964,0.582,0.831,1
0.974,0.606,0.486,1
0.926,0.472,0.859,1
0.812,0.323,0.919,1
0.879,0.00659,0.429,1
0.595,0.588,0.541,1
0.902,0.0702,0.314,1
0.677,0.00354,0.263,1
0.874,0.253,0.118,1
0.988,0.355,0.703,1
0.983,0.538,0.589,1
0.917,0.772,0.696,1
0.948,0.431,0.914,1
0.703,0.281,0.588,1
0.895,0.317,0.794,1
0.935,0.559,0.904,1
0.907,0.0207,0.486,1
0.93,0.589,0.704,1
0.922,0.514,0.656,1
0.955,0.293,0.81,1
0.73,0.258,0.85,1
0.866,0.415,0.732,1
0.835,0.405,0.802,1
0.61,0.252,0.608,1
0.896,0.744,0.758,1
0.864,0.225,0.679,1
0.894,0.00364,0.547,1
0.921,0.645,0.73,1
0.819,0.459,0.801,1
0.941,0.397,0.88,1
0.988,0.43,0.27,1
0.952,0.0917,0.773,1
0.88,0.354,0.898,1
0.8,0.329,0.585,1
0.914,0.164,0.852,1
0.822,0.235,0.322,1
0.935,0.248,0.937,1
0.822,0.694,0.963,1
0.843,0.317,0.617,1
0.938,0.104,0.898,1
0.948,0.0572,0.78,1
0.947,0.067,0.739,1
0.644,0.753,0.89,1
0.663,0.91,0.808,1
0.949,0.172,0.956,1
0.913,0.415,0.805,1
0.446,0.821,0.801,1
0.679,0.246,0.838,1
0.81,0.504,0.634,1
0.644,0.628,0.547,1
0.571,0.437,0.571,1
0.504,0.419,0.151,1
0.63,0.534,0.744,1
0.791,0.509,0.877,1
0.863,0.136,0.645,1
0.901,0.715,0.631,1
0.816,0.0395,0.637,1
0.851,0.113,0.918,1
0.746,0.0916,0.864,1
0.964,0.582,0.831,1
0.974,0.606,0.486,1
0.926,0.472,0.859,1
0.812,0.323,0.919,1
0.879,0.00659,0.429,1
0.595,0.588,0.541,1
0.902,0.0702,0.314,1
0.677,0.00354,0.263,1
0.874,0.253,0.118,1
0.988,0.355,0.703,1
0.445,0.474,0.591,0
0.637,0.0717,0.378,0
0.417,0.136,0.479,0
0.643,0.558,0.646,0
0.573,0.279,0.704,0
0.463,0.327,0.224,0
0.837,0.329,0.473,0
0.563,0.494,0.582,0
0.443,0.571,0.0888,0
0.716,0.268,0.639,0
0.653,0.507,0.423,0
0.442,0.491,0.465,0
0.697,0.634,0.62,0
0.601,0.796,0.453,0
0.499,0.217,0.262,0
0.688,0.346,0.726,0
0.472,0.294,0.195,0
0.622,0.7,0.672,0
0.294,0.332,0.491,0
0.448,0.777,0.388,0
0.729,0.349,0.47,0
0.682,0.492,0.316,0
0.71,0.395,0.755,0
0.768,0.447,0.669,0
0.549,0.301,0.667,0
0.798,0.32,0.793,0
0.904,0.514,0.811,0
0.623,0.419,0.456,0
0.315,0.862,0.46,0
0.552,0.719,0.221,0
0.447,0.858,0.321,0
0.515,0.674,0.368,0
0.421,0.661,0.203,0
0.71,0.342,0.275,0
0.504,0.388,0.533,0
0.468,0.784,0.319,0
0.485,0.927,0.407,0
0.771,0.545,0.551,0
0.642,0.643,0.427,0
0.629,0.405,0.567,0
0.295,0.534,0.694,0
0.667,0.597,0.516,0
0.904,0.718,0.729,0
0.61,0.382,0.237,0
0.61,0.368,0.463,0
0.438,0.399,0.58,0
0.621,0.47,0.451,0
0.687,0.656,0.663,0
0.334,0.343,0.0851,0
0.555,0.481,0.191,0
0.445,0.474,0.591,0
0.637,0.0717,0.378,0
0.417,0.136,0.479,0
0.643,0.558,0.646,0
0.573,0.279,0.704,0
0.463,0.327,0.224,0
0.837,0.329,0.473,0
0.563,0.494,0.582,0
0.443,0.571,0.0888,0
0.716,0.268,0.639,0
0.653,0.507,0.423,0
0.442,0.491,0.465,0
0.697,0.634,0.62,0
0.601,0.796,0.453,0
0.499,0.217,0.262,0
0.688,0.346,0.726,0
0.472,0.294,0.195,0
0.622,0.7,0.672,0
0.294,0.332,0.491,0
0.448,0.777,0.388,0
0.729,0.349,0.47,0
0.682,0.492,0.316,0
0.71,0.395,0.755,0
0.768,0.447,0.669,0
0.549,0.301,0.667,0
0.798,0.32,0.793,0
0.904,0.514,0.811,0
0.623,0.419,0.456,0
0.315,0.862,0.46,0
0.552,0.719,0.221,0
0.447,0.858,0.321,0
0.515,0.674,0.368,0
0.421,0.661,0.203,0
0.71,0.342,0.275,0
0.504,0.388,0.533,0
0.468,0.784,0.319,0
0.485,0.927,0.407,0
0.771,0.545,0.551,0
0.642,0.643,0.427,0
0.629,0.405,0.567,0
0.295,0.534,0.694,0
0.667,0.597,0.516,0
0.904,0.718,0.729,0
0.61,0.382,0.237,0
0.61,0.368,0.463,0
0.438,0.399,0.58,0
0.621,0.47,0.451,0
0.687,0.656,0.663,0
0.334,0.343,0.0851,0
0.555,0.481,0.191,0
